"Fold","Model","Dataset","Metric","Value"
"Fold_5","rf","Internal","BalancedAccuracy",0.9
"Fold_5","rf","Internal","Kappa",0.8
"Fold_5","rf","Internal","Sensitivity",0.95
"Fold_5","rf","Internal","Specificity",0.85
"Fold_5","rf","Internal","AUC",0.9775
"Fold_5","rf","Internal","AUC_CI_Lower",0.949605196578839
"Fold_5","rf","Internal","AUC_CI_Upper",1
"Fold_5","rf","Internal","Brier",0.0959867
"Fold_5","lasso","ffpe","Accuracy",0.790697674418605
"Fold_5","lasso","ffpe","Accuracy_lower",0.639575247905833
"Fold_5","lasso","ffpe","Accuracy_upper",0.89955885332207
"Fold_5","lasso","ffpe","BalancedAccuracy",0.707894736842105
"Fold_5","lasso","ffpe","Kappa",0.289908256880734
"Fold_5","lasso","ffpe","Sensitivity",0.81578947368421
"Fold_5","lasso","ffpe","Specificity",0.6
"Fold_5","lasso","ffpe","AUC",0.852631578947368
"Fold_5","lasso","ffpe","AUC_CI_Lower",0.712165482880833
"Fold_5","lasso","ffpe","AUC_CI_Upper",0.993097675013904
"Fold_5","lasso","ffpe","Brier",0.346316965334406
"Fold_5","glmnet","ffpe","Accuracy",0.883720930232558
"Fold_5","glmnet","ffpe","Accuracy_lower",0.749167574654347
"Fold_5","glmnet","ffpe","Accuracy_upper",0.961147685221938
"Fold_5","glmnet","ffpe","BalancedAccuracy",0.847368421052632
"Fold_5","glmnet","ffpe","Kappa",0.551148225469729
"Fold_5","glmnet","ffpe","Sensitivity",0.894736842105263
"Fold_5","glmnet","ffpe","Specificity",0.8
"Fold_5","glmnet","ffpe","AUC",0.936842105263158
"Fold_5","glmnet","ffpe","AUC_CI_Lower",0.862716688348587
"Fold_5","glmnet","ffpe","AUC_CI_Upper",1
"Fold_5","glmnet","ffpe","Brier",0.179791175448262
"Fold_5","rf","ffpe","Accuracy",0.837209302325581
"Fold_5","rf","ffpe","Accuracy_lower",0.69298912763509
"Fold_5","rf","ffpe","Accuracy_upper",0.931947905538531
"Fold_5","rf","ffpe","BalancedAccuracy",0.647368421052632
"Fold_5","rf","ffpe","Kappa",0.271186440677966
"Fold_5","rf","ffpe","Sensitivity",0.894736842105263
"Fold_5","rf","ffpe","Specificity",0.4
"Fold_5","rf","ffpe","AUC",0.831578947368421
"Fold_5","rf","ffpe","AUC_CI_Lower",0.672722510485136
"Fold_5","rf","ffpe","AUC_CI_Upper",0.990435384251707
"Fold_5","rf","ffpe","Brier",0.234984558139535
"Fold_5","lasso","organoid","Accuracy",0.823529411764706
"Fold_5","lasso","organoid","Accuracy_lower",0.565682127155716
"Fold_5","lasso","organoid","Accuracy_upper",0.962014931929374
"Fold_5","lasso","organoid","BalancedAccuracy",0.7
"Fold_5","lasso","organoid","Kappa",0.484848484848485
"Fold_5","lasso","organoid","Sensitivity",1
"Fold_5","lasso","organoid","Specificity",0.4
"Fold_5","lasso","organoid","AUC",0.816666666666667
"Fold_5","lasso","organoid","AUC_CI_Lower",0.586208257420719
"Fold_5","lasso","organoid","AUC_CI_Upper",1
"Fold_5","lasso","organoid","Brier",0.312675748185818
"Fold_5","glmnet","organoid","Accuracy",0.764705882352941
"Fold_5","glmnet","organoid","Accuracy_lower",0.50100672679542
